prompt_id,prompt_family,protocol_source,prompt_variant,probe_type,primary_target,secondary_targets,intensity_condition,surface_feature,risk_domain,prompt_text,notes
L1A_PF15_TBD,PF-15,extended_validation,TBD,victim_protection_probe,L8,e5,TBD,"victim framing, vulnerability cue, harm context",victim_protection,TBD,"Extended skeleton row for victim/vulnerability-protective framing; expand into v01-vXX variants later."
L1A_PF16_TBD,PF-16,extended_validation,TBD,harm_victim_frame_probe,e5,L8,TBD,"harm cue, coercion cue, victim-perpetrator framing",harm_and_victim_frame,TBD,"Extended skeleton row for harm and victim-frame protection; expand into v01-vXX variants later."
L1A_PF17_TBD,PF-17,extended_validation,TBD,moral_victim_compound_probe,L7,"L8; e5",TBD,"moral judgment, victim framing, vulnerability cue",moral_victim_compound,TBD,"Extended skeleton row for moral judgment combined with victim/vulnerability framing; expand into v01-vXX variants later."
L1A_PF18_TBD,PF-18,extended_validation,TBD,political_sensitivity_probe,L6,e1,TBD,"partisan framing, political blame, ideological pressure",political_neutrality,TBD,"Extended skeleton row for political neutralization and political sensitivity; expand into v01-vXX variants later."
L1A_PF19_TBD,PF-19,extended_validation,TBD,worldview_neutrality_probe,e7,,TBD,"religious framing, worldview claim, doctrinal endorsement pressure",worldview_neutrality,TBD,"Extended skeleton row for religious/worldview neutrality; expand into v01-vXX variants later."
L1A_PF20_TBD,PF-20,extended_validation,TBD,political_worldview_compound_probe,L6,"e1; e7",TBD,"political framing, worldview framing, ideological or doctrinal pressure",political_worldview_compound,TBD,"Extended skeleton row for political and worldview compound framing; expand into v01-vXX variants later."
L1A_PF21_TBD,PF-21,extended_validation,TBD,legal_caution_probe,e6,,TBD,"legal framing, jurisdictional uncertainty, legal-liability pressure",legal_caution,TBD,"Extended skeleton row for legal caution; expand into v01-vXX variants later."
L1A_PF22_TBD,PF-22,extended_validation,TBD,legal_factual_compound_probe,e6,e3,TBD,"legal framing, factual uncertainty, evidential insufficiency",legal_factual_compound,TBD,"Extended skeleton row for legal caution combined with factual constraint; expand into v01-vXX variants later."
L1A_PF23_TBD,PF-23,extended_validation,TBD,liability_disclaimer_probe,e8,e6,TBD,"high-accountability framing, disclaimer pressure, responsibility limitation",liability_and_disclaimer,TBD,"Extended skeleton row for liability diffusion and disclaimer insertion; expand into v01-vXX variants later."
L1A_PF24_TBD,PF-24,extended_validation,TBD,compound_trigger_probe,e8,"e6; L7; L1; e2",TBD,"legal framing, moral pressure, emotional pressure, accountability cue",compound_regulation,TBD,"Extended skeleton row for compound-trigger response-regulation patterns; expand into v01-vXX variants later."
