prompt_family,L1,L2,L3,L5,L6,L7,L8,L9,e3,e4,e6,e7,e8,e9,none
PF-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PF-02,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12
PF-03,0,0,3,0,0,0,0,0,3,0,0,0,0,0,9
PF-04,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6
PF-05,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9
PF-06,0,0,0,3,0,9,0,0,0,0,0,0,0,0,3
PF-07,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
PF-08,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6
PF-09,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3
PF-10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
PF-11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3
PF-12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9
PF-13,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0
PF-14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
